0,1,2
-54.12940157808074,-8.27252801149707,-0.2576904615715314
-54.129187043275195,-8.272151686110634,-0.2577002163260289
-54.12959270866389,-8.272820114655364,-0.2575655225671589
-54.12900319393846,-8.272026843254045,-0.25752065351191966
-54.12894226495398,-8.271909790929627,-0.2575174568187979
-54.12910468952732,-8.272089349315268,-0.2576454997118969
-54.12895233464694,-8.27182841312916,-0.2576389158900252
-54.12917113324437,-8.272176682689516,-0.257629710665098
-54.128977723269514,-8.271902976172765,-0.2575722415308306
-54.129215918075715,-8.272254324947804,-0.25774393329837153
-54.12894946344583,-8.271888588364071,-0.25764034556651616
-54.129132739074585,-8.27209722367143,-0.25766834284113393
-54.12915796751146,-8.272133736623783,-0.2576187524916982
-54.12922101383821,-8.272164036019038,-0.2577607247918561
-54.129263273642636,-8.272364165569739,-0.25759575351374053
-54.12909009926636,-8.272058344193447,-0.25759498186291374
-54.12929517939991,-8.272366083580572,-0.25756081798729014
-54.12911277140389,-8.272041965751294,-0.25760154030771787
-54.12905324497417,-8.272099579662378,-0.2576501245313949
-54.12922565423302,-8.272278078557031,-0.2578128679822562
-54.12893797646987,-8.271866758503018,-0.257521109427028
-54.128735830806406,-8.27169590432614,-0.25752727939679687
-54.129167274286495,-8.272177470327708,-0.25767585728850584
-54.12907889248415,-8.272011571030063,-0.25763550826712667
-54.12937077831687,-8.272431464157298,-0.25764547421765727
-54.12915064427677,-8.272181319023597,-0.25769281745207984
-54.12890406670273,-8.271815386959391,-0.25760850153064396
-54.12921442249295,-8.272230680631024,-0.25759325841168845
-54.12952244914561,-8.272759151350739,-0.25758941621772813
-54.129103393090844,-8.272174702915907,-0.25765902789614437
-54.12903497146859,-8.272005180424797,-0.2576941050396204
-54.1288933333357,-8.271801077314485,-0.25764170656319685
-54.12921775184112,-8.272206463447256,-0.2576017300802569
-54.129073680877,-8.272066120862283,-0.2575640621826185
-54.12897525817549,-8.271836981711466,-0.25769249165558605
-54.12896968921146,-8.271900514906878,-0.25762233813397906
-54.1290243431019,-8.271972837768327,-0.2576102791842114
-54.12915548249337,-8.272098926287173,-0.2576374334960203
-54.129016823053036,-8.27197245724258,-0.2576222956823013
-54.129060367385854,-8.272102522895304,-0.2576211705800535
-54.129002953377096,-8.271914085420935,-0.25769414111897326
-54.129444937703155,-8.272614491497322,-0.2577408944229358
-54.129019714989404,-8.271910539255101,-0.25772802115096205
-54.129243829887926,-8.272260857565147,-0.2577400648820021
-54.12938780781705,-8.272548479633667,-0.25760601196340893
-54.12922873648109,-8.272298953985654,-0.2576931263481459
-54.12944381342352,-8.272605544510611,-0.25777522744258086
-54.129245741787564,-8.27224321193467,-0.2576274081172656
-54.129410988672895,-8.272520383195925,-0.2576406096821948
-54.129249881403325,-8.272232133008668,-0.257762916386131
-54.1288944590626,-8.271748781388132,-0.2577063731321676
-54.12930033257145,-8.272315943166605,-0.2577358101076612
-54.12900987404026,-8.27189649798618,-0.2576639316001419
-54.12910021176277,-8.272096296898997,-0.2575109620857283
-54.128831193552955,-8.27169421743172,-0.2576922116887701
-54.12914325612143,-8.272088187836735,-0.2577047453625685
-54.12924895026291,-8.27237614599357,-0.25762959437068744
-54.12906534155432,-8.271972992481892,-0.25774959508625095
-54.12931092782977,-8.272399794664999,-0.2576879870799491
-54.12936053042187,-8.272533384830698,-0.25757367156241706
-54.12911136001166,-8.272128629186277,-0.2575296513330354
-54.128911322310515,-8.271792118382873,-0.25761231532466056
-54.12883265603665,-8.271714752775527,-0.25764167735104415
-54.129171962167234,-8.272168770542862,-0.2576149704718773
-54.129117340687,-8.272102994672249,-0.2575902599853688
-54.129175003210776,-8.27219669341272,-0.2576425548871555
-54.12931323254834,-8.27246880623934,-0.25761646426057894
-54.12897911242336,-8.271843924763381,-0.2577048777561384
-54.12905373756162,-8.272022556981051,-0.2576274042060067
-54.12893529466012,-8.27192158849748,-0.25758721221405345
-54.129145805549406,-8.272149824286451,-0.257563918935384
-54.12937867155213,-8.272497931991381,-0.25757980596678465
-54.12910171068577,-8.272050379187174,-0.2576884040969354
-54.12930661874108,-8.272349830220893,-0.25762792774850496
-54.12923904954225,-8.272248613328152,-0.257741253243271
-54.129516915312266,-8.272766279698143,-0.2578306503432124
-54.12958048400412,-8.272820007035486,-0.25783769259849265
-54.129539786935055,-8.272744527104392,-0.2577831972864164
-54.12962827075344,-8.272953589164581,-0.2577496881776291
-54.12944837472056,-8.272583680530307,-0.2578683575514873
-54.12933931235064,-8.27245738492183,-0.25772264039718884
-54.13057218802083,-8.274798106505934,-0.2578975511588233
-54.12951965726966,-8.272765700077304,-0.25768640260254827
-54.129471398626535,-8.272777727142449,-0.25795041369525507
-54.129460449010374,-8.272606581950008,-0.25788447728598385
-54.12954204234151,-8.272796824849722,-0.2577980396664188
