Parameter,Value
['電流訊號F10000 7.5 倍頻 '],807.0
['F10000ch.2 1870 HZ到 1890 HZ的頻譜帶能量占有比例'],485.0
['F10000ch.1 2490 HZ到 2510 HZ的頻譜帶能量占有比例'],251.0
['F10000ch.2 1370 HZ到 1390 HZ的頻譜帶能量'],334.0
['F10000ch.2 910 HZ到 930 HZ的頻譜帶能量占有比例'],437.0
['電流訊號F10000 19 倍頻 '],830.0
['F10000ch.1 1250 HZ到 1270 HZ的頻譜帶能量'],63.0
['F10000ch.1 1010 HZ到 1030 HZ的頻譜帶能量占有比例'],177.0
['F10000 ch. 2標準差 (Standard Deviation)'],268.0
['F10000ch.2 330 HZ到 350 HZ的頻譜帶能量'],282.0
['F10000ch.1 2230 HZ到 2250 HZ的頻譜帶能量占有比例'],238.0
['F10000ch.2 1750 HZ到 1770 HZ的頻譜帶能量占有比例'],479.0
['F10000ch.3 770 HZ到 790 HZ的頻譜帶能量占有比例'],695.0
['F10000ch.3 1490 HZ到 1510 HZ的頻譜帶能量'],605.0
['F10000ch.2 28 倍頻 '],276.0
['F10000ch.3 1490 HZ到 1510 HZ的頻譜帶能量'],605.0
MSE,6.123909147575432
MAPE,288.8019042951657
